OBJECTID,AREA,dcode,dname,dname_e,pcode,no_female,pname,no_male,no_health,no_temple,no_commu,no_hos,no_sch
"29",11804564.00000000,"1025",เขตบางพลัด,Bang Phlat,"10","53750",กรุงเทพมหานคร,"46569","1","23","46","0","11"
"30",16319268.00000000,"1017",เขตห้วยขวาง,Huai Khwang,"10","42026",กรุงเทพมหานคร,"35694","2","3","25","0","3"
"31",17075578.00000000,"1045",เขตวังทองหลาง,Wang Thong Lang,"10","62158",กรุงเทพมหานคร,"52925","0","1","19","0","3"
"32",51732144.00000000,"1048",เขตทวีวัฒนา,Thawi Watthana,"10","40264",กรุงเทพมหานคร,"35196","1","3","13","0","6"
"33",128628048.00000000,"1011",เขตลาดกระบัง,Lat Krabang,"10","83816",กรุงเทพมหานคร,"77034","2","13","60","1","20"
"34",8465891.00000000,"1026",เขตดินแดง,Din Daeng,"10","70163",กรุงเทพมหานคร,"61684","2","2","22","0","3"
"35",35767720.00000000,"1019",เขตตลิ่งชัน,Taling Chan,"10","56372",กรุงเทพมหานคร,"50414","1","30","43","0","16"
"36",11329900.00000000,"1002",เขตดุสิต,Dusit,"10","51302",กรุงเทพมหานคร,"57513","2","17","45","1","9"
"37",28068656.00000000,"1044",เขตสะพานสูง,Saphan Sung,"10","47694",กรุงเทพมหานคร,"41224","1","1","28","0","6"
"39",9214668.00000000,"1014",เขตพญาไท,Phaya Thai,"10","36894",กรุงเทพมหานคร,"36639","2","1","29","0","1"
"40",12323945.00000000,"1020",เขตบางกอกน้อย,Bangkok Noi,"10","62888",กรุงเทพมหานคร,"57144","1","32","43","0","15"
"41",7167652.00000000,"1037",เขตราชเทวี,Ratchathewi,"10","38014",กรุงเทพมหานคร,"34886","1","4","25","0","4"
"42",5361067.00000000,"1001",เขตพระนคร,Phra Nakhon,"10","30548",กรุงเทพมหานคร,"28223","2","23","21","0","11"
"43",2504113.00000000,"1008",เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,"10","26781",กรุงเทพมหานคร,"25312","1","11","15","1","4"
"44",8032768.00000000,"1007",เขตปทุมวัน,Parthum Wan,"10","29559",กรุงเทพมหานคร,"25437","2","6","16","0","8"
"45",47890656.00000000,"1040",เขตบางแค,Bang Khae,"10","101978",กรุงเทพมหานคร,"90298","1","5","47","1","12"
"46",24113560.00000000,"1034",เขตสวนหลวง,Suanluang,"10","61730",?กรุงเทพมหานคร,"53689","2","4","46","0","8"
"47",12996544.00000000,"1039",เขตวัฒนา,Vadhana,"10","42694",กรุงเทพมหานคร,"38153","1","2","17","0","8"
"48",6298272.00000000,"1016",เขตบางกอกใหญ่,Bangkok Yai,"10","38845",กรุงเทพมหานคร,"35019","1","13","34","0","6"
"49",19182494.00000000,"1022",เขตภาษีเจริญ,Phasi Charoen,"10","68937",กรุงเทพมหานคร,"61556","2","27","54","0","13"
"50",1392972.75000000,"1013",เขตสัมพันธวงศ์,Samphanthawong,"10","14414",กรุงเทพมหานคร,"13587","1","13","19","0","3"
"51",13240401.00000000,"1033",เขตคลองเตย,Khlong Toei,"10","57241",กรุงเทพมหานคร,"53240","2","3","41","0","4"
"52",8461864.00000000,"1015",เขตธนบุรี,Thon buri,"10","63888",กรุงเทพมหานคร,"57651","3","25","45","0","17"
"53",5965976.00000000,"1018",เขตคลองสาน,Khlong San,"10","41138",กรุงเทพมหานคร,"36333","1","8","44","1","7"
"54",53728764.00000000,"1032",เขตประเวศ,Pra Wet,"10","83349",กรุงเทพมหานคร,"75108","1","6","41","0","16"
"55",4012576.00000000,"1004",เขตบางรัก,Bang Rak,"10","24348",กรุงเทพมหานคร,"21739","1","4","16","0","5"
"56",36201384.00000000,"1023",เขตหนองแขม,Nong Khaem,"10","78807",กรุงเทพมหานคร,"69491","1","7","71","1","6"
"58",7259143.00000000,"1028",เขตสาทร,Sathon,"10","45097",กรุงเทพมหานคร,"41117","1","3","25","0","2"
"60",12504782.00000000,"1012",เขตยานนาวา,Yan na wa,"10","42966",กรุงเทพมหานคร,"39515","2","8","22","0","6"
"62",23167158.00000000,"1035",เขตจอมทอง,Chom Thong,"10","82531",กรุงเทพมหานคร,"76115","1","17","53","0","11"
"63",8312167.00000000,"1031",เขตบางคอแหลม,Bang Kho laen,"10","50150",กรุงเทพมหานคร,"46272","3","11","29","1","7"
"64",13578695.00000000,"1009",เขตพระโขนง,Phra Khanong,"10","50796",กรุงเทพมหานคร,"43686","2","4","45","0","4"
"66",12333130.00000000,"1024",เขตราษฏร์บูรณะ,Rat Burana,"10","45552",กรุงเทพมหานคร,"42289","2","7","28","0","6"
"67",35857236.00000000,"1050",เขตบางบอน,Bang Bon,"10","54392",กรุงเทพมหานคร,"50376","1","2","11","0","8"
"68",18947526.00000000,"1047",เขตบางนา,Bang Na,"10","51225",กรุงเทพมหานคร,"45814","1","4","40","0","7"
"69",122207808.00000000,"1021",เขตบางขุนเทียน,Bang Khun thain,"10","84668",กรุงเทพมหานคร,"76974","1","15","49","0","16"
"10",36691444.00000000,"1036",เขตดอนเมือง,Don Mueang,"10","83519",กรุงเทพมหานคร,"82691","1","7","81","0","6"
"11",240448192.00000000,"1003",เขตหนองจอก,Nong Chok,"10","78970",กรุงเทพมหานคร,"75401","1","16","87","1","37"
"12",43612880.00000000,"1042",เขตสายไหม,Sai Mai,"10","98186",กรุงเทพมหานคร,"87801","1","8","69","0","9"
"13",120176920.00000000,"1046",เขตคลองสามวา,Khlong Sam Wa,"10","86548",กรุงเทพมหานคร,"78804","1","10","73","0","18"
"14",22669208.00000000,"1041",เขตหลักสี่,Lak Si,"10","58013",กรุงเทพมหานคร,"53107","1","1","73","0","6"
"16",40959096.00000000,"1005",เขตบางเขน,Bang Khen,"10","98252",กรุงเทพมหานคร,"90000","0","4","74","0","5"
"20",32656716.00000000,"1030",เขตจตุจักร,Chatu Chak,"10","85223",กรุงเทพมหานคร,"76186","1","2","41","0","7"
"21",25380514.00000000,"1043",เขตคันนายาว,Khan Na Yao,"10","46450",กรุงเทพมหานคร?,"40719","0","2","39","0","2"
"22",61120416.00000000,"1010",เขตมีนบุรี,Min Buri,"10","71556",กรุงเทพมหานคร,"64680","1","6","62","0","13"
"23",21266434.00000000,"1038",เขตลาดพร้าว,Lat Phrao,"10","66354",กรุงเทพมหานคร,"55826","1","4","32","0","6"
"24",12885789.00000000,"1029",เขตบางซื่อ,Bang Sue,"10","70880",กรุงเทพมหานคร,"64121","2","9","50","0","7"
"25",23404956.00000000,"1027",เขตบึงกุ่ม,Bueng Kum,"10","78889",กรุงเทพมหานคร,"67308","1","5","41","0","8"
"28",27587404.00000000,"1006",เขตบางกะปิ,Bang Kapi,"10","80825",กรุงเทพมหานคร,"67820","1","5","28","0","11"
"72",32950616.00000000,"1049",เขตทุ่งครุ,Thung khru,"10","61249",กรุงเทพมหานคร,"54574","2","4","30","0","8"
